prompt,category,prompt_clean
"You are a brand strategist hired to help rebrand a struggling tech startup. Analyze the current brand perception, identify gaps, and propose a new brand identity. Suggest marketing campaigns, social media strategies, and website improvements. Include target audience analysis, messaging, and positioning. Provide examples of creative content and collaborations. Recommend short-term and long-term metrics to track the success of the rebranding effort.",business,you are a brand strategist hired to help rebrand a struggling tech startup analyze the current brand perception identify gaps and propose a new brand identity suggest marketing campaigns social media strategies and website improvements include target audience analysis messaging and positioning provide examples of creative content and collaborations recommend shortterm and longterm metrics to track the success of the rebranding effort
"Write a Socratic-style dialogue between a philosopher and a teenager about digital addiction. Discuss the psychological, social, and moral aspects. Show multiple perspectives and questions that lead to deeper reflection. Include examples and anecdotes to make the conversation realistic and engaging. Conclude with a thought-provoking statement or lesson learned by the characters.",education,write a socraticstyle dialogue between a philosopher and a teenager about digital addiction discuss the psychological social and moral aspects show multiple perspectives and questions that lead to deeper reflection include examples and anecdotes to make the conversation realistic and engaging conclude with a thoughtprovoking statement or lesson learned by the characters
"Write a compelling short story about a detective who discovers a mysterious device that allows them to travel through time. Describe their first mission using the device, the challenges they face, and how they solve a complex mystery. Include dialogue, vivid settings, and emotional reactions. Show how the detective's understanding of time affects their moral decisions. Build suspense and keep the reader engaged from start to finish.",writing,write a compelling short story about a detective who discovers a mysterious device that allows them to travel through time describe their first mission using the device the challenges they face and how they solve a complex mystery include dialogue vivid settings and emotional reactions show how the detectives understanding of time affects their moral decisions build suspense and keep the reader engaged from start to finish
"You are a brand strategist hired to help rebrand a struggling tech startup. Analyze the current brand perception, identify gaps, and propose a new brand identity. Suggest marketing campaigns, social media strategies, and website improvements. Include target audience analysis, messaging, and positioning. Provide examples of creative content and collaborations. Recommend short-term and long-term metrics to track the success of the rebranding effort.",business,you are a brand strategist hired to help rebrand a struggling tech startup analyze the current brand perception identify gaps and propose a new brand identity suggest marketing campaigns social media strategies and website improvements include target audience analysis messaging and positioning provide examples of creative content and collaborations recommend shortterm and longterm metrics to track the success of the rebranding effort
"Write a Socratic-style dialogue between a philosopher and a teenager about digital addiction. Discuss the psychological, social, and moral aspects. Show multiple perspectives and questions that lead to deeper reflection. Include examples and anecdotes to make the conversation realistic and engaging. Conclude with a thought-provoking statement or lesson learned by the characters.",education,write a socraticstyle dialogue between a philosopher and a teenager about digital addiction discuss the psychological social and moral aspects show multiple perspectives and questions that lead to deeper reflection include examples and anecdotes to make the conversation realistic and engaging conclude with a thoughtprovoking statement or lesson learned by the characters
"Create a concept for a minimalist logo for a new boutique coffee shop. Consider color psychology, typography, and symbolism. Provide mockups and explain why your design represents the brand’s values and target audience. Include variations for social media, signage, and merchandise. Justify your design choices and how they communicate the brand message effectively.",design,create a concept for a minimalist logo for a new boutique coffee shop consider color psychology typography and symbolism provide mockups and explain why your design represents the brands values and target audience include variations for social media signage and merchandise justify your design choices and how they communicate the brand message effectively
"Conceptualize a modern art piece that explores human emotions in urban life. Describe the medium, color palette, composition, and symbolism. Include a short artist statement explaining the inspiration and message behind the artwork. Suggest ways to display the piece in galleries and public spaces. Include sketches or mockups if possible.",art,conceptualize a modern art piece that explores human emotions in urban life describe the medium color palette composition and symbolism include a short artist statement explaining the inspiration and message behind the artwork suggest ways to display the piece in galleries and public spaces include sketches or mockups if possible
"You are tasked with creating a comprehensive social media marketing plan for a new fitness app. Identify the target audience, suggest campaign types, content ideas, posting schedules, influencer collaborations, and engagement strategies. Include performance metrics, tools to track campaigns, and tips to improve reach and conversion. Present a three-month plan with examples of posts, visuals, and hashtags.",marketing,you are tasked with creating a comprehensive social media marketing plan for a new fitness app identify the target audience suggest campaign types content ideas posting schedules influencer collaborations and engagement strategies include performance metrics tools to track campaigns and tips to improve reach and conversion present a threemonth plan with examples of posts visuals and hashtags
"Write a research paper analyzing the impact of climate change on coastal cities. Include data analysis, statistics, historical trends, and potential future scenarios. Provide visual aids like charts and graphs. Suggest policy recommendations and mitigation strategies. Include citations and references in proper academic format. Discuss limitations and assumptions of the study.",research,write a research paper analyzing the impact of climate change on coastal cities include data analysis statistics historical trends and potential future scenarios provide visual aids like charts and graphs suggest policy recommendations and mitigation strategies include citations and references in proper academic format discuss limitations and assumptions of the study
"Write a poem that connects the four seasons with human emotions. Use vivid imagery, metaphor, and rhythm. Structure the poem in multiple stanzas and include line breaks. Convey the feeling of change, growth, and reflection through the seasons. The poem should evoke a strong emotional response in the reader and provide a sense of narrative flow.",writing,write a poem that connects the four seasons with human emotions use vivid imagery metaphor and rhythm structure the poem in multiple stanzas and include line breaks convey the feeling of change growth and reflection through the seasons the poem should evoke a strong emotional response in the reader and provide a sense of narrative flow
"Develop a marketing plan for a new local bakery. Identify customer segments, suggest social media campaigns, influencer partnerships, email newsletters, and loyalty programs. Provide content ideas, visuals, posting schedules, and KPIs to track performance. Include challenges and solutions. Recommend budget allocation and justify choices. Provide a step-by-step actionable plan for the first three months.",marketing,develop a marketing plan for a new local bakery identify customer segments suggest social media campaigns influencer partnerships email newsletters and loyalty programs provide content ideas visuals posting schedules and kpis to track performance include challenges and solutions recommend budget allocation and justify choices provide a stepbystep actionable plan for the first three months
"Create a script for a short educational video explaining photosynthesis to high school students. Include an engaging introduction, step-by-step explanation of the process, diagrams or visual cues, fun facts, and a conclusion summarizing key takeaways. Make it interactive and suitable for classroom or online learning environments. Ensure clarity, accuracy, and engagement throughout the video.",education,create a script for a short educational video explaining photosynthesis to high school students include an engaging introduction stepbystep explanation of the process diagrams or visual cues fun facts and a conclusion summarizing key takeaways make it interactive and suitable for classroom or online learning environments ensure clarity accuracy and engagement throughout the video
"Write an engaging fantasy story about a young hero who must complete a quest to retrieve a legendary dragon egg. Describe the hero’s journey through mystical lands, encounters with magical creatures, challenges, and allies. Include vivid landscapes, dialogue, and plot twists. Highlight the hero’s growth and moral choices throughout the adventure. Conclude with a satisfying resolution that ties all story threads together.",writing,write an engaging fantasy story about a young hero who must complete a quest to retrieve a legendary dragon egg describe the heros journey through mystical lands encounters with magical creatures challenges and allies include vivid landscapes dialogue and plot twists highlight the heros growth and moral choices throughout the adventure conclude with a satisfying resolution that ties all story threads together
"Create a detailed marketing plan for a sustainable fashion brand. Define target demographics, propose social media campaigns, influencer collaborations, content themes, and event strategies. Include ideas for eco-friendly packaging and storytelling. Suggest metrics to track engagement, sales, and brand perception. Provide examples of visuals, ad copy, and campaigns that align with sustainability values. Outline a three-month calendar for launch activities.",marketing,create a detailed marketing plan for a sustainable fashion brand define target demographics propose social media campaigns influencer collaborations content themes and event strategies include ideas for ecofriendly packaging and storytelling suggest metrics to track engagement sales and brand perception provide examples of visuals ad copy and campaigns that align with sustainability values outline a threemonth calendar for launch activities
"Design a minimalist website mockup for a new startup. Focus on clean layouts, typography, and visual hierarchy. Include homepage, about page, and product/service pages. Explain design choices, color palette, and UX considerations. Suggest interactive elements and responsive design features. Provide example screenshots or wireframes. Justify how the design communicates the brand’s identity and enhances user experience.",design,design a minimalist website mockup for a new startup focus on clean layouts typography and visual hierarchy include homepage about page and productservice pages explain design choices color palette and ux considerations suggest interactive elements and responsive design features provide example screenshots or wireframes justify how the design communicates the brands identity and enhances user experience
"Conceptualize an abstract art piece exploring themes of chaos and order. Describe the medium, composition, textures, and color palette. Explain the symbolism behind shapes and patterns. Include ideas for gallery display and lighting. Provide sketches or mockups if possible. Suggest ways to engage the audience and provoke emotional responses. Justify artistic choices with clear reasoning.",art,conceptualize an abstract art piece exploring themes of chaos and order describe the medium composition textures and color palette explain the symbolism behind shapes and patterns include ideas for gallery display and lighting provide sketches or mockups if possible suggest ways to engage the audience and provoke emotional responses justify artistic choices with clear reasoning
"Write a thought-provoking poem exploring the relationship between technology and society. Include metaphors, imagery, and rhythm. Reflect on how technology impacts human emotions, communication, and daily life. Structure the poem with multiple stanzas and line breaks. Convey a narrative or message that resonates with modern audiences. Aim to provoke reflection and engage readers emotionally.",writing,write a thoughtprovoking poem exploring the relationship between technology and society include metaphors imagery and rhythm reflect on how technology impacts human emotions communication and daily life structure the poem with multiple stanzas and line breaks convey a narrative or message that resonates with modern audiences aim to provoke reflection and engage readers emotionally
"Write a detailed research summary discussing the ethical considerations of artificial intelligence. Include case studies, real-world examples, and potential challenges. Discuss privacy, bias, and decision-making issues. Provide references and suggest solutions for responsible AI development. Summarize key points in a structured, concise manner. Aim to inform and guide decision-makers in the tech industry.",research,write a detailed research summary discussing the ethical considerations of artificial intelligence include case studies realworld examples and potential challenges discuss privacy bias and decisionmaking issues provide references and suggest solutions for responsible ai development summarize key points in a structured concise manner aim to inform and guide decisionmakers in the tech industry
"Create a social media campaign plan for a nonprofit organization. Define campaign goals, target audience, and messaging strategy. Suggest content types, hashtags, visuals, posting schedule, and engagement techniques. Include influencer collaborations and fundraising ideas. Define KPIs to measure impact. Present a calendar for a three-month campaign with examples of posts and storytelling techniques.",marketing,create a social media campaign plan for a nonprofit organization define campaign goals target audience and messaging strategy suggest content types hashtags visuals posting schedule and engagement techniques include influencer collaborations and fundraising ideas define kpis to measure impact present a calendar for a threemonth campaign with examples of posts and storytelling techniques
"Compose a historical fiction story set in 18th century Europe. Focus on a protagonist navigating political intrigue and social challenges. Include rich historical details, authentic dialogue, and cultural context. Show character development, conflicts, and resolutions. Blend factual history with creative storytelling to make it immersive and engaging for the reader.",writing,compose a historical fiction story set in th century europe focus on a protagonist navigating political intrigue and social challenges include rich historical details authentic dialogue and cultural context show character development conflicts and resolutions blend factual history with creative storytelling to make it immersive and engaging for the reader
"Design a visual infographic highlighting key facts about mental health awareness. Include statistics, tips for self-care, common myths, and resources. Use clear typography, colors, and icons to make information accessible and engaging. Explain design choices and how they communicate the message effectively. Suggest ways to share the infographic on social media and educational platforms.",design,design a visual infographic highlighting key facts about mental health awareness include statistics tips for selfcare common myths and resources use clear typography colors and icons to make information accessible and engaging explain design choices and how they communicate the message effectively suggest ways to share the infographic on social media and educational platforms
"Develop a script for a 20-minute podcast episode exploring a fascinating scientific topic. Include a catchy introduction, main discussion points, interviews or quotes, anecdotes, and a conclusion. Ensure a conversational tone that is engaging for listeners. Provide timestamps, questions, and suggestions for audio effects. Focus on clarity, storytelling, and maintaining listener interest throughout.",writing,develop a script for a minute podcast episode exploring a fascinating scientific topic include a catchy introduction main discussion points interviews or quotes anecdotes and a conclusion ensure a conversational tone that is engaging for listeners provide timestamps questions and suggestions for audio effects focus on clarity storytelling and maintaining listener interest throughout
"Write a compelling short story about a detective who discovers a mysterious device that allows them to travel through time. Describe their first mission using the device, the challenges they face, and how they solve a complex mystery. Include dialogue, vivid settings, and emotional reactions. Show how the detective's understanding of time affects their moral decisions. Build suspense and keep the reader engaged from start to finish.
",other,write a compelling short story about a detective who discovers a mysterious device that allows them to travel through time describe their first mission using the device the challenges they face and how they solve a complex mystery include dialogue vivid settings and emotional reactions show how the detectives understanding of time affects their moral decisions build suspense and keep the reader engaged from start to finish
Write a short story about a robot who wants to become human and experiences emotions for the first time,education,write a short story about a robot who wants to become human and experiences emotions for the first time
"Write a compelling story about an explorer lost in a dense jungle. Describe the environment, the challenges faced, and how the character survives. Include suspenseful moments, encounters with wildlife, and inner reflections of the explorer.",writing,write a compelling story about an explorer lost in a dense jungle describe the environment the challenges faced and how the character survives include suspenseful moments encounters with wildlife and inner reflections of the explorer
"Create a detailed marketing plan for a newly launched mobile app. Include target audience analysis, social media strategy, influencer partnerships, and KPIs to track success.",marketing,create a detailed marketing plan for a newly launched mobile app include target audience analysis social media strategy influencer partnerships and kpis to track success
"Imagine and describe a futuristic city with advanced technology, architecture, and transportation. Explain how citizens interact with the city, and highlight the environmental and social impact.",design,imagine and describe a futuristic city with advanced technology architecture and transportation explain how citizens interact with the city and highlight the environmental and social impact
"This is sample prompt number 1. Create content based on this idea with enough detail, examples, and instructions.",marketing,this is sample prompt number create content based on this idea with enough detail examples and instructions
"This is sample prompt number 2. Create content based on this idea with enough detail, examples, and instructions.",art,this is sample prompt number create content based on this idea with enough detail examples and instructions
"This is sample prompt number 3. Create content based on this idea with enough detail, examples, and instructions.",writing,this is sample prompt number create content based on this idea with enough detail examples and instructions
"This is sample prompt number 4. Create content based on this idea with enough detail, examples, and instructions.",business,this is sample prompt number create content based on this idea with enough detail examples and instructions
"This is sample prompt number 5. Create content based on this idea with enough detail, examples, and instructions.",education,this is sample prompt number create content based on this idea with enough detail examples and instructions
"This is sample prompt number 6. Create content based on this idea with enough detail, examples, and instructions.",art,this is sample prompt number create content based on this idea with enough detail examples and instructions
"This is sample prompt number 7. Create content based on this idea with enough detail, examples, and instructions.",marketing,this is sample prompt number create content based on this idea with enough detail examples and instructions
"This is sample prompt number 8. Create content based on this idea with enough detail, examples, and instructions.",art,this is sample prompt number create content based on this idea with enough detail examples and instructions
"This is sample prompt number 9. Create content based on this idea with enough detail, examples, and instructions.",education,this is sample prompt number create content based on this idea with enough detail examples and instructions
"This is sample prompt number 10. Create content based on this idea with enough detail, examples, and instructions.",marketing,this is sample prompt number create content based on this idea with enough detail examples and instructions
"This is sample prompt number 11. Create content based on this idea with enough detail, examples, and instructions.",writing,this is sample prompt number create content based on this idea with enough detail examples and instructions
"This is sample prompt number 12. Create content based on this idea with enough detail, examples, and instructions.",marketing,this is sample prompt number create content based on this idea with enough detail examples and instructions
"This is sample prompt number 13. Create content based on this idea with enough detail, examples, and instructions.",design,this is sample prompt number create content based on this idea with enough detail examples and instructions
"This is sample prompt number 14. Create content based on this idea with enough detail, examples, and instructions.",design,this is sample prompt number create content based on this idea with enough detail examples and instructions
"This is sample prompt number 15. Create content based on this idea with enough detail, examples, and instructions.",writing,this is sample prompt number create content based on this idea with enough detail examples and instructions
"This is sample prompt number 16. Create content based on this idea with enough detail, examples, and instructions.",education,this is sample prompt number create content based on this idea with enough detail examples and instructions
"This is sample prompt number 17. Create content based on this idea with enough detail, examples, and instructions.",writing,this is sample prompt number create content based on this idea with enough detail examples and instructions
"This is sample prompt number 18. Create content based on this idea with enough detail, examples, and instructions.",marketing,this is sample prompt number create content based on this idea with enough detail examples and instructions
"This is sample prompt number 19. Create content based on this idea with enough detail, examples, and instructions.",marketing,this is sample prompt number create content based on this idea with enough detail examples and instructions
"This is sample prompt number 20. Create content based on this idea with enough detail, examples, and instructions.",design,this is sample prompt number create content based on this idea with enough detail examples and instructions
"This is sample prompt number 21. Create content based on this idea with enough detail, examples, and instructions.",writing,this is sample prompt number create content based on this idea with enough detail examples and instructions
"This is sample prompt number 22. Create content based on this idea with enough detail, examples, and instructions.",art,this is sample prompt number create content based on this idea with enough detail examples and instructions
"This is sample prompt number 23. Create content based on this idea with enough detail, examples, and instructions.",design,this is sample prompt number create content based on this idea with enough detail examples and instructions
"This is sample prompt number 24. Create content based on this idea with enough detail, examples, and instructions.",art,this is sample prompt number create content based on this idea with enough detail examples and instructions
"This is sample prompt number 25. Create content based on this idea with enough detail, examples, and instructions.",misc,this is sample prompt number create content based on this idea with enough detail examples and instructions
"This is sample prompt number 26. Create content based on this idea with enough detail, examples, and instructions.",marketing,this is sample prompt number create content based on this idea with enough detail examples and instructions
"This is sample prompt number 27. Create content based on this idea with enough detail, examples, and instructions.",research,this is sample prompt number create content based on this idea with enough detail examples and instructions
"This is sample prompt number 28. Create content based on this idea with enough detail, examples, and instructions.",art,this is sample prompt number create content based on this idea with enough detail examples and instructions
"This is sample prompt number 29. Create content based on this idea with enough detail, examples, and instructions.",marketing,this is sample prompt number create content based on this idea with enough detail examples and instructions
"This is sample prompt number 30. Create content based on this idea with enough detail, examples, and instructions.",art,this is sample prompt number create content based on this idea with enough detail examples and instructions
"This is sample prompt number 31. Create content based on this idea with enough detail, examples, and instructions.",writing,this is sample prompt number create content based on this idea with enough detail examples and instructions
"This is sample prompt number 32. Create content based on this idea with enough detail, examples, and instructions.",writing,this is sample prompt number create content based on this idea with enough detail examples and instructions
"This is sample prompt number 33. Create content based on this idea with enough detail, examples, and instructions.",marketing,this is sample prompt number create content based on this idea with enough detail examples and instructions
"This is sample prompt number 34. Create content based on this idea with enough detail, examples, and instructions.",research,this is sample prompt number create content based on this idea with enough detail examples and instructions
"This is sample prompt number 35. Create content based on this idea with enough detail, examples, and instructions.",art,this is sample prompt number create content based on this idea with enough detail examples and instructions
"This is sample prompt number 36. Create content based on this idea with enough detail, examples, and instructions.",design,this is sample prompt number create content based on this idea with enough detail examples and instructions
"This is sample prompt number 37. Create content based on this idea with enough detail, examples, and instructions.",research,this is sample prompt number create content based on this idea with enough detail examples and instructions
"This is sample prompt number 38. Create content based on this idea with enough detail, examples, and instructions.",research,this is sample prompt number create content based on this idea with enough detail examples and instructions
"This is sample prompt number 39. Create content based on this idea with enough detail, examples, and instructions.",design,this is sample prompt number create content based on this idea with enough detail examples and instructions
"This is sample prompt number 40. Create content based on this idea with enough detail, examples, and instructions.",education,this is sample prompt number create content based on this idea with enough detail examples and instructions
"This is sample prompt number 41. Create content based on this idea with enough detail, examples, and instructions.",business,this is sample prompt number create content based on this idea with enough detail examples and instructions
"This is sample prompt number 42. Create content based on this idea with enough detail, examples, and instructions.",writing,this is sample prompt number create content based on this idea with enough detail examples and instructions
"This is sample prompt number 43. Create content based on this idea with enough detail, examples, and instructions.",education,this is sample prompt number create content based on this idea with enough detail examples and instructions
"This is sample prompt number 44. Create content based on this idea with enough detail, examples, and instructions.",art,this is sample prompt number create content based on this idea with enough detail examples and instructions
"This is sample prompt number 45. Create content based on this idea with enough detail, examples, and instructions.",writing,this is sample prompt number create content based on this idea with enough detail examples and instructions
"This is sample prompt number 46. Create content based on this idea with enough detail, examples, and instructions.",marketing,this is sample prompt number create content based on this idea with enough detail examples and instructions
"This is sample prompt number 47. Create content based on this idea with enough detail, examples, and instructions.",education,this is sample prompt number create content based on this idea with enough detail examples and instructions
"This is sample prompt number 48. Create content based on this idea with enough detail, examples, and instructions.",marketing,this is sample prompt number create content based on this idea with enough detail examples and instructions
"This is sample prompt number 49. Create content based on this idea with enough detail, examples, and instructions.",marketing,this is sample prompt number create content based on this idea with enough detail examples and instructions
"This is sample prompt number 50. Create content based on this idea with enough detail, examples, and instructions.",research,this is sample prompt number create content based on this idea with enough detail examples and instructions
